id,parameter,value,unit,latitude,longitude,depth,timestamp,source,quality,region
OCEAN_00025,temperature,31.98,°C,7.5481,91.7633,65.0,2025-09-18T23:09:12.279774,Buoy,good,Bay of Bengal
OCEAN_00026,temperature,22.41,°C,-8.7201,86.5633,130.0,2025-08-03T21:23:21.980180,Buoy,fair,Indian Ocean
OCEAN_00027,dissolved_oxygen,31.76,PSU,21.8401,86.8278,119.4,2025-10-07T08:11:32.492676,Ship Survey,good,Bay of Bengal
OCEAN_00028,temperature,31.57,°C,15.1318,92.3653,74.8,2025-07-18T01:02:26.331827,CTD,good,Bay of Bengal
OCEAN_00029,pH,36.9,PSU,18.6635,91.594,1.5,2025-09-24T20:48:47.973814,Ship Survey,good,Bay of Bengal
OCEAN_00030,pH,32.52,PSU,12.8468,81.3316,89.3,2025-09-14T17:31:56.337152,Ship Survey,good,Bay of Bengal
OCEAN_00031,temperature,23.89,°C,-9.7509,76.5101,103.0,2025-08-05T22:44:44.998893,Satellite,fair,Indian Ocean
OCEAN_00032,pH,32.02,PSU,2.8524,81.329,43.2,2025-08-31T03:10:11.747894,Satellite,good,Indian Ocean
OCEAN_00033,pH,36.84,PSU,22.125,64.209,66.3,2025-06-20T01:12:17.440752,Satellite,good,Arabian Sea
OCEAN_00034,chlorophyll,36.88,PSU,15.607,86.7589,188.6,2025-08-28T01:22:34.815434,CTD,good,Bay of Bengal
OCEAN_00035,dissolved_oxygen,30.99,PSU,6.1312,88.6336,177.4,2025-11-01T20:28:11.790321,Buoy,good,Bay of Bengal
OCEAN_00036,temperature,25.71,°C,22.2419,63.3774,31.1,2025-10-04T15:45:38.978900,Buoy,good,Arabian Sea
OCEAN_00037,salinity,31.66,PSU,11.9577,90.1271,154.5,2025-09-30T01:39:34.118483,CTD,fair,Bay of Bengal
OCEAN_00038,temperature,25.44,°C,3.7163,67.8775,152.3,2025-08-26T05:38:47.805158,Satellite,good,Indian Ocean
OCEAN_00039,dissolved_oxygen,36.51,PSU,17.105,94.7713,187.1,2025-06-08T10:40:05.951841,Satellite,good,Bay of Bengal
OCEAN_00040,temperature,21.3,°C,10.5651,89.7463,127.1,2025-09-25T04:47:27.560634,CTD,fair,Bay of Bengal
OCEAN_00041,dissolved_oxygen,34.79,PSU,7.7746,67.0011,169.0,2025-11-16T07:55:54.538085,Ship Survey,good,Indian Ocean
OCEAN_00042,salinity,35.11,PSU,12.7126,68.4676,118.5,2025-06-09T19:42:19.449443,CTD,good,Arabian Sea
OCEAN_00043,salinity,33.54,PSU,18.6812,88.001,156.5,2025-10-06T14:53:52.532177,Satellite,good,Bay of Bengal
OCEAN_00044,pH,32.26,PSU,11.955,61.2538,179.3,2025-11-30T20:25:09.699888,Buoy,good,Arabian Sea
OCEAN_00045,dissolved_oxygen,36.41,PSU,4.8215,75.2432,177.3,2025-11-30T08:30:48.912057,Buoy,fair,Indian Ocean
OCEAN_00046,pH,34.4,PSU,14.3999,93.4209,162.8,2025-10-26T19:52:20.285766,Buoy,good,Bay of Bengal
OCEAN_00047,temperature,25.9,°C,17.8976,60.5938,156.4,2025-10-08T18:34:26.516267,Ship Survey,fair,Arabian Sea
OCEAN_00048,dissolved_oxygen,32.27,PSU,4.0572,87.5345,109.2,2025-09-26T16:29:04.417030,Buoy,fair,Indian Ocean
OCEAN_00049,salinity,31.3,PSU,-4.2347,79.2126,80.9,2025-07-01T14:43:39.256102,CTD,good,Indian Ocean
OCEAN_00050,chlorophyll,32.33,PSU,-8.8554,80.7383,148.2,2025-07-23T14:02:02.970952,Buoy,good,Indian Ocean
OCEAN_00051,salinity,31.87,PSU,8.1608,77.0358,82.3,2025-07-08T17:22:46.606715,Buoy,good,Indian Ocean
OCEAN_00052,temperature,30.86,°C,7.8105,83.5382,137.9,2025-11-06T21:34:42.117047,Buoy,good,Bay of Bengal
OCEAN_00053,temperature,26.31,°C,5.3422,87.6041,28.5,2025-09-10T20:16:39.005665,CTD,good,Bay of Bengal
OCEAN_00054,dissolved_oxygen,37.65,PSU,9.5275,69.4196,7.1,2025-10-07T13:21:57.005481,Satellite,good,Indian Ocean
OCEAN_00055,dissolved_oxygen,32.42,PSU,16.6387,93.4281,124.8,2025-08-08T20:43:12.041681,Buoy,good,Bay of Bengal
OCEAN_00056,temperature,24.85,°C,16.0879,84.4373,75.8,2025-11-03T10:01:23.866951,Ship Survey,fair,Bay of Bengal
OCEAN_00057,chlorophyll,31.37,PSU,13.7209,82.3468,97.7,2025-09-08T04:03:50.648159,CTD,good,Bay of Bengal
OCEAN_00058,pH,32.86,PSU,10.8262,91.893,195.3,2025-09-10T15:00:45.116300,Satellite,fair,Bay of Bengal
OCEAN_00059,chlorophyll,33.62,PSU,-0.979,77.8358,12.5,2025-09-02T05:28:39.471871,Ship Survey,good,Indian Ocean
OCEAN_00060,chlorophyll,31.16,PSU,5.8772,66.9153,165.8,2025-11-05T04:39:13.154887,Satellite,fair,Indian Ocean
OCEAN_00061,chlorophyll,34.74,PSU,17.0082,66.4148,103.9,2025-10-11T13:02:45.518788,Satellite,good,Arabian Sea
OCEAN_00062,temperature,26.88,°C,5.2753,65.89,47.8,2025-10-09T07:29:27.414366,Ship Survey,fair,Indian Ocean
OCEAN_00063,salinity,33.75,PSU,-7.05,88.037,113.0,2025-08-05T14:06:10.153161,CTD,fair,Indian Ocean
OCEAN_00064,temperature,29.74,°C,10.8555,81.417,69.7,2025-06-08T02:47:58.904876,Ship Survey,good,Bay of Bengal
OCEAN_00065,dissolved_oxygen,31.6,PSU,18.7763,61.6822,25.7,2025-08-11T08:23:24.574301,Satellite,good,Arabian Sea
OCEAN_00066,chlorophyll,33.77,PSU,9.1398,91.487,69.6,2025-08-15T09:25:35.757747,CTD,fair,Bay of Bengal
OCEAN_00067,pH,37.22,PSU,0.4297,73.677,39.1,2025-11-15T08:12:00.419313,Ship Survey,good,Indian Ocean
OCEAN_00068,pH,31.65,PSU,-6.9044,65.6071,128.4,2025-11-13T09:09:28.907105,Ship Survey,good,Indian Ocean
OCEAN_00069,chlorophyll,33.12,PSU,12.0611,65.7945,172.7,2025-09-28T17:42:37.733233,CTD,good,Arabian Sea
OCEAN_00070,chlorophyll,37.37,PSU,21.3858,91.3062,76.4,2025-06-16T05:21:28.503318,CTD,fair,Bay of Bengal
OCEAN_00071,dissolved_oxygen,30.77,PSU,19.195,66.3886,94.5,2025-07-06T00:01:51.012339,Satellite,good,Arabian Sea
OCEAN_00072,temperature,28.26,°C,-0.2275,82.0684,125.8,2025-06-16T21:29:34.616535,Buoy,good,Indian Ocean
OCEAN_00073,salinity,33.88,PSU,14.2957,61.8815,187.0,2025-08-23T06:27:14.391958,Buoy,fair,Arabian Sea
OCEAN_00074,pH,32.27,PSU,2.3763,76.2355,198.3,2025-10-03T20:14:06.935562,Ship Survey,fair,Indian Ocean
OCEAN_00075,salinity,34.08,PSU,7.6304,78.461,105.9,2025-06-25T23:39:56.892076,Satellite,good,Indian Ocean
OCEAN_00076,pH,30.47,PSU,21.4354,85.0056,116.4,2025-07-22T07:48:55.556900,Buoy,fair,Bay of Bengal
OCEAN_00077,salinity,32.94,PSU,20.7296,64.1604,31.9,2025-11-28T19:35:12.837118,Ship Survey,fair,Arabian Sea
OCEAN_00078,chlorophyll,35.75,PSU,-3.1486,65.4315,89.2,2025-06-13T20:30:39.614477,Ship Survey,good,Indian Ocean
OCEAN_00079,dissolved_oxygen,34.47,PSU,13.3162,63.9613,61.9,2025-08-23T20:44:55.721717,Satellite,good,Arabian Sea
OCEAN_00080,chlorophyll,37.47,PSU,17.5778,86.5948,38.5,2025-07-15T11:49:51.384240,Satellite,good,Bay of Bengal
OCEAN_00081,dissolved_oxygen,34.13,PSU,16.5308,87.1275,138.8,2025-10-28T08:39:26.346732,Ship Survey,good,Bay of Bengal
OCEAN_00082,chlorophyll,34.87,PSU,17.6981,87.4382,47.6,2025-10-25T21:50:59.919143,Buoy,good,Bay of Bengal
OCEAN_00083,temperature,31.33,°C,9.3329,85.8212,137.9,2025-08-23T20:09:39.852245,Satellite,good,Bay of Bengal
OCEAN_00084,salinity,37.21,PSU,20.0154,65.1065,89.9,2025-08-05T06:12:45.669283,Satellite,fair,Arabian Sea
OCEAN_00085,pH,30.93,PSU,6.141,67.4231,106.3,2025-08-23T08:34:12.160521,Buoy,fair,Indian Ocean
OCEAN_00086,pH,34.49,PSU,17.8667,63.6424,87.0,2025-09-18T14:58:03.425457,Satellite,good,Arabian Sea
OCEAN_00087,temperature,27.87,°C,18.9375,85.6588,85.8,2025-10-19T07:59:10.823383,Buoy,good,Bay of Bengal
OCEAN_00088,salinity,36.96,PSU,0.5819,66.405,193.6,2025-11-10T15:04:17.338125,Buoy,good,Indian Ocean
OCEAN_00089,chlorophyll,34.9,PSU,5.8518,94.4345,115.7,2025-09-13T15:42:40.492754,Ship Survey,good,Bay of Bengal
OCEAN_00090,pH,33.95,PSU,8.2696,69.1409,161.0,2025-06-20T17:53:55.603056,Ship Survey,good,Indian Ocean
OCEAN_00091,pH,37.69,PSU,-7.0903,82.3806,26.9,2025-11-12T03:28:34.325544,Ship Survey,good,Indian Ocean
OCEAN_00092,temperature,22.35,°C,0.2641,65.4441,196.5,2025-06-16T12:41:32.899882,Ship Survey,good,Indian Ocean
OCEAN_00093,chlorophyll,33.73,PSU,-6.6211,67.4804,118.9,2025-07-05T11:45:26.645919,Satellite,good,Indian Ocean
OCEAN_00094,temperature,20.39,°C,15.9009,71.8636,54.2,2025-06-12T23:41:50.235077,Satellite,good,Arabian Sea
OCEAN_00095,pH,36.34,PSU,2.1932,65.1981,81.0,2025-07-16T10:18:03.707465,Ship Survey,good,Indian Ocean
OCEAN_00096,pH,37.09,PSU,12.4244,67.0741,83.5,2025-11-22T16:45:19.152268,CTD,fair,Arabian Sea
OCEAN_00097,chlorophyll,31.55,PSU,-3.9059,84.4546,152.9,2025-08-21T06:37:57.818286,Buoy,good,Indian Ocean
OCEAN_00098,salinity,35.82,PSU,8.1907,80.9242,24.4,2025-08-03T11:36:34.189058,Satellite,good,Indian Ocean
OCEAN_00099,pH,34.97,PSU,19.3873,82.2437,62.6,2025-06-14T06:26:36.982504,Ship Survey,fair,Bay of Bengal
OCEAN_00100,chlorophyll,34.09,PSU,10.1921,67.3945,58.9,2025-09-08T19:43:33.564168,CTD,fair,Arabian Sea
OCEAN_00101,temperature,24.18,°C,16.5272,73.1533,193.0,2025-08-19T04:23:38.167013,Ship Survey,good,Arabian Sea
OCEAN_00102,salinity,36.48,PSU,4.916,73.7194,152.0,2025-11-15T09:18:18.588317,Satellite,good,Indian Ocean
OCEAN_00103,dissolved_oxygen,30.04,PSU,11.8537,89.2575,91.0,2025-06-16T18:25:05.364679,Buoy,good,Bay of Bengal
OCEAN_00104,temperature,21.33,°C,11.2376,93.9779,183.9,2025-06-19T07:37:57.141131,CTD,good,Bay of Bengal
OCEAN_00105,chlorophyll,36.57,PSU,6.2201,83.7305,56.6,2025-08-12T10:30:44.910624,Ship Survey,good,Indian Ocean
OCEAN_00106,salinity,30.39,PSU,22.2219,69.3546,164.0,2025-10-12T07:45:18.789505,CTD,good,Arabian Sea
OCEAN_00107,chlorophyll,37.89,PSU,20.8729,64.6709,127.2,2025-11-18T03:29:14.255821,CTD,good,Arabian Sea
OCEAN_00108,temperature,29.09,°C,20.6921,80.1736,91.0,2025-10-30T02:37:21.956704,CTD,good,Bay of Bengal
OCEAN_00109,chlorophyll,34.05,PSU,-0.8305,83.4219,121.9,2025-10-07T07:12:34.847752,Ship Survey,good,Indian Ocean
OCEAN_00110,pH,37.37,PSU,1.326,68.5658,46.6,2025-08-14T22:53:27.563104,Satellite,good,Indian Ocean
OCEAN_00111,dissolved_oxygen,36.64,PSU,14.1767,74.6132,101.9,2025-11-04T06:03:36.351681,Satellite,good,Arabian Sea
OCEAN_00112,temperature,25.27,°C,12.7033,64.3842,115.2,2025-08-31T12:27:38.567214,Satellite,good,Arabian Sea
OCEAN_00113,pH,36.38,PSU,-4.0385,73.0308,30.6,2025-10-12T14:38:31.119879,Ship Survey,good,Indian Ocean
OCEAN_00114,salinity,30.12,PSU,19.7629,89.2926,169.4,2025-09-07T11:58:36.727102,Buoy,good,Bay of Bengal
OCEAN_00115,temperature,21.11,°C,13.7605,67.2702,69.9,2025-09-10T01:59:01.998963,Satellite,good,Arabian Sea
OCEAN_00116,chlorophyll,36.65,PSU,14.1745,92.4235,159.7,2025-10-04T02:37:07.648807,Ship Survey,good,Bay of Bengal
OCEAN_00117,temperature,26.7,°C,19.3271,73.6348,66.7,2025-09-10T22:28:46.516047,Ship Survey,good,Arabian Sea
OCEAN_00118,dissolved_oxygen,37.59,PSU,13.0845,74.7117,108.0,2025-11-22T00:30:22.131761,Ship Survey,good,Arabian Sea
OCEAN_00119,pH,30.76,PSU,-2.5503,81.2608,86.8,2025-10-19T02:03:11.859527,Satellite,good,Indian Ocean
OCEAN_00120,salinity,30.64,PSU,9.7369,84.3059,93.9,2025-10-31T07:07:05.991075,Ship Survey,good,Indian Ocean
OCEAN_00121,pH,34.69,PSU,21.981,88.8971,156.5,2025-08-20T17:20:07.571456,Ship Survey,good,Bay of Bengal
OCEAN_00122,salinity,37.97,PSU,20.3611,71.1215,12.7,2025-08-17T05:07:08.006007,Satellite,good,Arabian Sea
OCEAN_00123,temperature,20.55,°C,19.5193,91.1688,164.4,2025-09-08T18:50:29.343261,Buoy,good,Bay of Bengal
OCEAN_00124,dissolved_oxygen,33.6,PSU,11.4072,89.2942,161.0,2025-06-29T07:28:48.609539,Buoy,good,Bay of Bengal
OCEAN_00125,dissolved_oxygen,35.9,PSU,20.6971,67.7507,182.8,2025-10-04T21:58:44.414629,CTD,good,Arabian Sea
OCEAN_00126,temperature,20.29,°C,2.7613,73.9249,35.3,2025-10-07T22:07:20.774823,Satellite,good,Indian Ocean
OCEAN_00127,pH,33.0,PSU,15.1282,65.5195,103.6,2025-09-19T14:26:39.298692,Satellite,fair,Arabian Sea
OCEAN_00128,temperature,20.84,°C,22.101,60.2507,25.1,2025-11-22T06:40:15.373654,Satellite,good,Arabian Sea
OCEAN_00129,salinity,35.27,PSU,5.7275,68.1566,142.6,2025-09-02T15:00:04.707534,CTD,good,Indian Ocean
OCEAN_00130,chlorophyll,31.72,PSU,12.8065,69.4358,47.5,2025-08-08T15:28:55.274097,Ship Survey,good,Arabian Sea
OCEAN_00131,temperature,31.82,°C,16.8902,74.3212,39.7,2025-07-03T13:21:37.514788,Satellite,good,Arabian Sea
OCEAN_00132,salinity,37.41,PSU,-4.2267,80.9034,41.6,2025-12-04T17:29:13.471814,Ship Survey,good,Indian Ocean
OCEAN_00133,temperature,22.36,°C,23.379,68.8758,194.3,2025-10-22T21:46:02.920462,Buoy,good,Arabian Sea
OCEAN_00134,chlorophyll,36.73,PSU,17.127,91.1993,167.2,2025-07-25T17:16:27.439256,Ship Survey,good,Bay of Bengal
OCEAN_00135,temperature,24.97,°C,21.813,90.7033,173.1,2025-12-03T15:28:52.372114,Ship Survey,fair,Bay of Bengal
OCEAN_00136,dissolved_oxygen,36.44,PSU,23.4486,69.6848,162.8,2025-09-17T08:04:57.697399,Ship Survey,good,Arabian Sea
OCEAN_00137,temperature,24.07,°C,11.3107,61.0048,80.1,2025-07-28T10:55:47.472844,Satellite,good,Arabian Sea
OCEAN_00138,temperature,20.19,°C,7.8599,77.5843,75.4,2025-10-23T11:44:08.457031,CTD,good,Indian Ocean
OCEAN_00139,dissolved_oxygen,37.24,PSU,-6.994,70.1403,101.4,2025-11-05T22:40:56.339113,Satellite,good,Indian Ocean
OCEAN_00140,dissolved_oxygen,30.08,PSU,8.9796,93.1286,181.4,2025-08-15T22:55:54.636786,Ship Survey,good,Bay of Bengal
OCEAN_00141,salinity,33.58,PSU,14.3273,63.9042,54.0,2025-07-23T07:04:19.736363,Buoy,good,Arabian Sea
OCEAN_00142,temperature,29.79,°C,22.2681,61.9784,133.0,2025-10-03T22:09:48.965416,Ship Survey,good,Arabian Sea
OCEAN_00143,pH,37.15,PSU,22.2258,67.1663,183.4,2025-08-25T09:08:34.374840,Ship Survey,good,Arabian Sea
OCEAN_00144,chlorophyll,34.82,PSU,19.7502,65.3413,90.8,2025-11-19T05:15:38.866137,Buoy,good,Arabian Sea
OCEAN_00145,pH,34.85,PSU,16.0419,67.0586,111.1,2025-08-06T16:17:13.286170,Satellite,fair,Arabian Sea
OCEAN_00146,pH,35.06,PSU,6.902,80.1021,64.0,2025-06-08T05:36:24.800077,CTD,fair,Bay of Bengal
OCEAN_00147,salinity,33.9,PSU,13.4129,71.0105,148.1,2025-07-26T20:02:58.804442,Ship Survey,good,Arabian Sea
OCEAN_00148,dissolved_oxygen,31.77,PSU,3.8679,75.3785,181.1,2025-08-31T14:00:57.767301,Satellite,fair,Indian Ocean
OCEAN_00149,dissolved_oxygen,36.35,PSU,9.9563,69.2417,44.9,2025-12-02T08:38:51.922326,CTD,fair,Indian Ocean
OCEAN_00150,pH,34.58,PSU,13.6786,81.9391,120.6,2025-11-10T06:02:22.701843,Ship Survey,good,Bay of Bengal
OCEAN_00151,pH,33.7,PSU,14.9234,65.0741,184.7,2025-10-25T05:55:26.987418,CTD,good,Arabian Sea
OCEAN_00152,pH,36.59,PSU,18.181,67.5569,163.3,2025-06-19T02:36:25.979845,Satellite,good,Arabian Sea
OCEAN_00153,temperature,21.71,°C,20.7244,72.3373,142.8,2025-07-31T07:28:35.430809,CTD,good,Arabian Sea
OCEAN_00154,chlorophyll,36.71,PSU,17.8573,92.729,89.4,2025-07-31T21:18:16.827662,Satellite,good,Bay of Bengal
OCEAN_00155,chlorophyll,37.38,PSU,17.2761,91.263,19.3,2025-08-22T13:17:30.519641,Buoy,good,Bay of Bengal
OCEAN_00156,pH,30.62,PSU,21.383,61.0407,35.7,2025-07-21T03:49:04.510986,CTD,good,Arabian Sea
OCEAN_00157,dissolved_oxygen,32.28,PSU,12.6353,94.4514,167.8,2025-08-05T20:35:10.817682,Satellite,good,Bay of Bengal
OCEAN_00158,temperature,23.44,°C,20.3994,63.2819,68.2,2025-09-13T22:57:29.111886,Buoy,good,Arabian Sea
OCEAN_00159,chlorophyll,31.26,PSU,21.8729,74.4392,52.9,2025-11-30T07:45:20.589209,Ship Survey,good,Arabian Sea
OCEAN_00160,temperature,26.95,°C,13.8778,69.351,158.3,2025-09-14T12:49:41.350724,Satellite,good,Arabian Sea
OCEAN_00161,chlorophyll,37.62,PSU,-3.2893,80.9516,132.0,2025-12-02T23:37:33.206970,Satellite,good,Indian Ocean
OCEAN_00162,pH,36.59,PSU,17.9799,62.3896,134.0,2025-11-15T13:57:44.176787,Buoy,good,Arabian Sea
OCEAN_00163,dissolved_oxygen,37.0,PSU,-0.617,86.6493,186.2,2025-08-03T13:21:46.406754,Buoy,good,Indian Ocean
OCEAN_00164,dissolved_oxygen,32.09,PSU,18.3101,68.2938,130.2,2025-11-09T05:40:01.098816,Ship Survey,fair,Arabian Sea
OCEAN_00165,temperature,30.87,°C,1.2932,71.9475,90.0,2025-10-30T07:45:54.297476,Satellite,good,Indian Ocean
OCEAN_00166,pH,37.9,PSU,21.8757,67.4972,9.7,2025-11-05T20:42:12.012607,CTD,fair,Arabian Sea
OCEAN_00167,dissolved_oxygen,32.19,PSU,13.5287,84.5896,44.7,2025-10-12T04:09:38.898383,Buoy,good,Bay of Bengal
OCEAN_00168,pH,36.77,PSU,20.9655,86.2705,172.0,2025-09-05T23:45:57.240117,Buoy,good,Bay of Bengal
OCEAN_00169,salinity,34.83,PSU,3.9184,85.1112,193.7,2025-07-31T19:36:10.395294,Ship Survey,good,Indian Ocean
OCEAN_00170,temperature,29.6,°C,21.4338,89.3075,40.8,2025-11-11T06:32:50.027475,Satellite,fair,Bay of Bengal
OCEAN_00171,temperature,23.15,°C,11.6123,84.5249,71.6,2025-11-23T07:51:18.247323,Buoy,good,Bay of Bengal
OCEAN_00172,dissolved_oxygen,32.35,PSU,10.8838,72.2618,12.0,2025-09-16T15:16:50.005903,Satellite,good,Arabian Sea
OCEAN_00173,chlorophyll,31.42,PSU,7.6837,82.0777,134.7,2025-07-11T05:46:12.889283,CTD,fair,Bay of Bengal
OCEAN_00174,salinity,36.73,PSU,10.075,82.5622,165.8,2025-09-11T05:37:03.954017,Ship Survey,fair,Bay of Bengal
OCEAN_00175,salinity,31.99,PSU,15.9572,66.6563,193.3,2025-08-17T15:54:32.641518,Ship Survey,good,Arabian Sea
OCEAN_00176,chlorophyll,33.97,PSU,0.9837,68.9423,190.1,2025-11-23T12:35:52.317528,Satellite,good,Indian Ocean
OCEAN_00177,dissolved_oxygen,32.31,PSU,-2.9684,67.4918,196.7,2025-10-10T09:06:23.159572,Buoy,good,Indian Ocean
OCEAN_00178,pH,33.47,PSU,21.035,71.8455,182.4,2025-11-02T21:03:01.131840,Buoy,good,Arabian Sea
OCEAN_00179,dissolved_oxygen,32.19,PSU,19.0992,85.2692,181.0,2025-10-07T10:44:44.240500,Satellite,good,Bay of Bengal
OCEAN_00180,chlorophyll,37.12,PSU,8.2281,73.8414,106.2,2025-11-10T18:46:50.368247,Buoy,fair,Indian Ocean
OCEAN_00181,chlorophyll,32.4,PSU,23.9736,74.6889,21.8,2025-10-01T11:33:09.090099,Ship Survey,good,Arabian Sea
OCEAN_00182,pH,33.08,PSU,23.6886,70.7787,140.8,2025-06-19T22:22:55.245228,Ship Survey,good,Arabian Sea
OCEAN_00183,pH,35.41,PSU,17.528,65.5626,54.1,2025-07-30T13:49:09.670805,Satellite,good,Arabian Sea
OCEAN_00184,chlorophyll,37.85,PSU,9.2617,69.6903,111.5,2025-08-16T07:50:28.905999,CTD,good,Indian Ocean
OCEAN_00185,chlorophyll,35.19,PSU,3.0399,82.5946,36.8,2025-11-11T13:06:50.138036,Buoy,good,Indian Ocean
OCEAN_00186,pH,32.84,PSU,15.7264,92.4259,108.7,2025-08-26T10:01:17.801814,Satellite,good,Bay of Bengal
OCEAN_00187,salinity,34.78,PSU,18.3164,67.762,80.8,2025-11-22T22:46:19.154901,Ship Survey,good,Arabian Sea
OCEAN_00188,dissolved_oxygen,31.49,PSU,8.3518,71.555,42.5,2025-07-22T16:03:55.415938,Buoy,good,Indian Ocean
OCEAN_00189,pH,30.03,PSU,12.5007,62.7345,161.2,2025-08-08T21:38:37.704203,Buoy,good,Arabian Sea
OCEAN_00190,salinity,35.19,PSU,5.2082,91.8766,49.9,2025-11-10T11:39:27.393437,Satellite,good,Bay of Bengal
OCEAN_00191,chlorophyll,30.12,PSU,-7.7448,77.5372,174.3,2025-07-24T10:44:21.813959,Satellite,good,Indian Ocean
OCEAN_00192,dissolved_oxygen,30.17,PSU,12.7091,91.031,17.3,2025-09-17T08:01:56.252488,Buoy,fair,Bay of Bengal
OCEAN_00193,temperature,21.03,°C,8.7537,82.9863,199.1,2025-08-02T17:43:40.294924,Satellite,good,Bay of Bengal
OCEAN_00194,temperature,22.84,°C,18.1252,67.5156,146.1,2025-07-11T16:24:32.338254,Ship Survey,good,Arabian Sea
OCEAN_00195,dissolved_oxygen,32.02,PSU,6.6331,81.7703,148.7,2025-09-16T15:54:12.835180,CTD,fair,Bay of Bengal
OCEAN_00196,temperature,21.91,°C,13.5397,80.8867,126.9,2025-11-29T12:09:36.362794,Satellite,good,Bay of Bengal
OCEAN_00197,pH,34.75,PSU,17.6073,70.0061,51.8,2025-10-30T19:48:59.259937,Ship Survey,good,Arabian Sea
OCEAN_00198,chlorophyll,36.73,PSU,12.2413,93.322,7.3,2025-07-07T04:34:38.800396,Ship Survey,fair,Bay of Bengal
OCEAN_00199,chlorophyll,32.84,PSU,14.476,91.5345,37.2,2025-11-11T06:58:04.382091,Ship Survey,fair,Bay of Bengal
OCEAN_00200,temperature,30.85,°C,18.46,86.4966,88.7,2025-07-25T16:48:07.254672,Buoy,good,Bay of Bengal
OCEAN_00201,dissolved_oxygen,36.97,PSU,-6.6849,85.0727,50.8,2025-10-13T00:32:56.595271,Ship Survey,good,Indian Ocean
OCEAN_00202,pH,31.91,PSU,22.1942,60.1177,72.6,2025-11-18T19:55:21.516534,CTD,fair,Arabian Sea
OCEAN_00203,temperature,31.94,°C,-5.1991,77.1974,84.0,2025-10-07T21:45:38.293410,Ship Survey,fair,Indian Ocean
OCEAN_00204,temperature,22.01,°C,11.3387,73.6046,76.8,2025-10-16T02:50:46.146721,Buoy,good,Arabian Sea
